code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
002315,焦点科技,-9.985,17.85,19.85,19.95,17.85,19.83,15265890,9.19149,282764676,27.891,2.518,545317.5,296465.771595,2021-03-10
002314,南山控股,-1.7650000000000001,3.34,3.41,3.44,3.34,3.4,8020413,0.5993700000000001,27137906,22.267,1.112,904399.359342,446941.862526,2021-03-10
002313,日海智能,-3.497,10.21,10.62,10.7,10.2,10.58,2683399,0.7177100000000001,27915456,40.84,1.214,382262.4,381733.744578,2021-03-10
002312,三泰控股,-1.248,7.12,7.28,7.36,7.0,7.21,30423148,2.29727,217624077,114.469,2.602,981201.313896,942913.605032,2021-03-10
002311,海大集团,4.235,71.62,69.9,72.62,69.85,68.71,8632303,0.5242800000000001,616852629,67.566,9.944,11897591.398662,11792237.110988,2021-03-10
002310,东方园林,-2.716,3.94,4.06,4.09,3.93,4.05,12297761,0.48013000000000006,49124258,197.0,0.852,1058072.029576,1009177.190238,2021-03-10
002309,中利集团,-7.143,4.55,4.9,4.9,4.55,4.9,15556400,2.22783,73332967,75.833,0.47700000000000004,396663.11594,317715.83662,2021-03-10
002308,威创股份,-4.667,4.29,4.5,4.55,4.28,4.5,11148572,1.23046,48844588,-3.1310000000000002,1.513,388766.085279,388696.113663,2021-03-10
002307,北新路桥,-1.274,4.65,4.71,4.77,4.63,4.71,6188350,0.6939900000000001,28924597,77.5,1.714,490415.994645,414643.57272,2021-03-10
002306,ST云网,-3.462,2.51,2.6,2.6,2.5,2.6,2220053,0.27996000000000004,5651207,-181.884,51.224,210840.0,199039.206637,2021-03-10
002305,南国置业,-2.336,2.09,2.13,2.15,2.08,2.14,30717869,1.77277,64426205,-9.952,0.991,362451.09593,362146.785242,2021-03-10
002304,洋河股份,2.095,164.2,166.0,167.4,162.13,160.83,8500568,0.6814,1399162668,33.516,6.48,24744742.96,20484250.10834,2021-03-10
002303,美盈森,-2.77,3.51,3.62,3.65,3.48,3.61,10917400,1.18679,38767342,10.04,1.12,537494.613435,322888.023198,2021-03-10
002302,西部建设,-2.13,8.27,8.55,8.55,8.26,8.45,6888900,0.5457200000000001,57576016,15.904,1.355,1043967.009408,1043967.009408,2021-03-10
002301,齐心集团,0.27,11.15,11.13,11.29,10.95,11.12,4720425,0.64422,52420111,31.857,2.3810000000000002,818432.410385,817000.31888,2021-03-10
002300,太阳电缆,-1.9540000000000002,5.52,5.66,5.68,5.51,5.63,1968782,0.29984000000000005,10938916,16.985,2.351,362480.184,362452.336704,2021-03-10
002299,圣农发展,1.553,28.77,28.51,29.06,28.35,28.33,12409280,1.12001,357202862,8.713,3.404,3580155.34275,3187611.320355,2021-03-10
002298,中电兴发,-3.659,7.9,8.24,8.29,7.87,8.2,10282444,1.8705,82223075,18.553,1.24,546289.67285,434276.56272,2021-03-10
002297,博云新材,-1.58,6.85,7.0,7.05,6.83,6.96,5623600,1.19598,38832477,-19.741,2.343,322850.805825,322092.297105,2021-03-10
002296,辉煌科技,-1.488,6.62,6.76,6.8,6.61,6.72,3400668,1.01077,22815162,37.191,1.6360000000000001,257952.55004,222725.181926,2021-03-10
002295,精艺股份,-5.0,6.27,6.6,6.74,6.2,6.6,2398900,0.9589200000000001,15257563,31.35,1.299,157136.232,156855.336,2021-03-10
002294,信立泰,-0.354,33.82,34.71,34.99,33.8,33.94,3077629,0.29427000000000003,105454119,49.735,6.111,3537626.112,3537112.048,2021-03-10
002293,罗莱生活,-2.773,11.57,11.98,11.99,11.49,11.9,3856040,0.4698,45004560,17.533,2.359,957609.424317,949653.299933,2021-03-10
002292,奥飞娱乐,-5.179,5.31,5.64,5.65,5.31,5.6,16366007,2.01023,88692246,59.0,1.862,720651.707775,432307.184544,2021-03-10
002291,星期六,-0.421,18.94,19.29,19.38,18.5,19.02,13916182,2.26401,263780370,78.917,4.348,1398694.550354,1164184.750826,2021-03-10
002290,ST禾盛,0.9540000000000001,6.35,6.31,6.45,6.31,6.29,987560,0.4562,6281004,-1.2850000000000001,3.527,154122.32955,137461.01921,2021-03-10
002289,ST宇顺,-2.377,6.16,6.33,6.38,6.16,6.31,1320421,0.50961,8221607,132.473,5.609,172636.299528,159608.451464,2021-03-10
002288,超华科技,-2.0,6.86,7.0,7.07,6.76,7.0,13829881,1.48821,95254493,298.261,4.035,639107.608384,637497.647332,2021-03-10
002287,奇正藏药,-0.887,23.46,23.7,23.96,23.36,23.67,933684,0.17686000000000002,21975652,34.035,5.178,1244183.07099,1238516.06166,2021-03-10
002286,保龄宝,-1.434,8.25,8.45,8.47,8.22,8.37,7125800,1.9297900000000001,59224222,82.5,1.897,304636.2,304633.446975,2021-03-10
002285,世联行,-2.552,4.2,4.32,4.37,4.1,4.31,14728685,0.73141,62409222,105.0,1.657,854103.21024,845769.28632,2021-03-10
002284,亚太股份,-0.198,5.05,5.15,5.2,5.05,5.06,7643242,1.1141,38988835,-38.846,1.534,372503.399975,346453.299185,2021-03-10
002283,天润工业,2.572,6.38,6.29,6.51,6.22,6.22,19138758,1.93112,122064216,20.581,1.492,724028.161164,632302.038588,2021-03-10
002282,博深股份,-0.195,10.23,10.35,10.35,10.16,10.25,678858,0.21217000000000003,6940527,63.938,1.8679999999999999,556455.084372,327325.307001,2021-03-10
002281,光迅科技,-3.409,22.1,23.15,23.48,22.05,22.88,11866161,1.78957,266057631,40.182,3.152,1542252.73878,1465392.12781,2021-03-10
002280,*ST联络,5.159,2.65,2.6,2.65,2.57,2.52,75667049,4.2961,199781977,-1.9060000000000001,3.296,576944.663875,466743.01441,2021-03-10
002279,久其软件,-1.461,4.72,4.83,4.87,4.72,4.79,6823710,1.06721,32520075,64.218,4.757,335712.625736,301794.879432,2021-03-10
002278,神开股份,-2.3810000000000002,5.74,5.87,5.89,5.73,5.88,1790650,0.53117,10367429,47.833,1.85,208884.137952,193504.085194,2021-03-10
002277,友阿股份,-0.595,3.34,3.37,3.41,3.33,3.36,7479300,0.53647,25194661,14.714,0.672,465653.7152,465653.7152,2021-03-10
002276,万马股份,-0.745,6.66,6.75,6.79,6.65,6.71,5880161,0.56798,39384099,31.224,1.557,689635.739268,689493.381768,2021-03-10
